MicrobeID	PubSeedID	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom	Host	Version	NCBI Taxonomy ID	Annotation version ID	RefSeq ID	GCF ID	IMG Genome ID	Strain/species reference	Reference category	Ecotype	Specific Ecosystem	Cell Shape	Cultured	Diseases	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Gram Staining	Oxygen Requirement	Habitat	Metabolism	Motility	Sample Body Site	Sample Body Subsite	Genome Size   * assembled	Gene Count   * assembled	GC Count   * assembled	GC   * assembled	CDS Count   * assembled	CDS %   * assembled	Genome link
Chlorobium_phaeobacteroides_DSM_266	Chlorobium phaeobacteroides DSM 266 (290317.9)	1	Chlorobium phaeobacteroides DSM 266	Chlorobium phaeobacteroides	Chlorobium	Chlorobiaceae	Chlorobiales	Chlorobia	Chlorobi	Bacteria	Human	AGORA2	290317	290317.9		GCF_000015125.1	639633020	PMID:31171880	Literature research	0	0	Rod-shaped	Yes	0	Environmental	Aquatic	Lentic	Freshwater	Gram-	Facultative	Aquatic, Fresh water	Nitrogen fixation	Nonmotile	0	0	3133902	2805	1515287	48	2743	97.79	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/125/GCF_000015125.1_ASM1512v1
Christensenella_massiliensis_Marseille_P2438	N/A	0	Christensenella massiliensis DSM 102344	Christensenella massiliensis	Christensenella	Christensenellaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	AGORA2	1805714			GCF_900155415.1	2757320871	PMID:30658995	Literature research	0	0	0	Yes	0	0	0	0	0	Gram+	Obligate anaerobe	0	0	0	0	0	2560186	2497	1289764	50	2433	97.44	https://www.ncbi.nlm.nih.gov/assembly/GCF_900155415.1/
Christensenella_minuta_DSM_22607	N/A	0	Christensenella minuta DSM 22607	Christensenella minuta	Christensenella	Christensenellaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	AGORA2	626937		NZ_LT700187	GCF_001571425.1	2832262383	PMID:21357455	Literature research	0	0	0	Yes	0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Obligate anaerobe	0	0	0	0	0	2906526	2848	1495963	51	2774	97.4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/425/GCF_001571425.1_ASM157142v1
Christensenellaceae_nov_ERR1022455	N/A	0	Christensenellaceae nov. ERR1022455	Christensenellaceae nov. ERR1022455	unclassified Christensenellaceae	Christensenellaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	990721					PMID:30718869	Forster et al. resource	0	0	0							Gram+	Obligate anaerobe	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1022455/ERR1022455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/005/ERR1022455/ERR1022455_2.fastq.gz
Citrobacter_amalonaticus_FDAARGOS_122	N/A	0	Citrobacter amalonaticus FDAARGOS_122	Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	35703		GCF_001559075.2	GCF_001559075.2	2718218407	PMID:31275260	Literature research	0	0	0	Yes	0	Host-associated	Human	Urethra	Excretory system	Gram-	Facultative anaerobe	0	0	0	0	0	4904610	4726	2635358	54	4524	95.73	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/075/GCF_001559075.2_ASM155907v2
Citrobacter_amalonaticus_FDAARGOS_166	N/A	0	Citrobacter amalonaticus FDAARGOS_166	Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	35703		GCF_001471655.2	GCF_001471655.2	2695420335	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4933864	4902	2629656	53	4701	95.9	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/471/655/GCF_001471655.2_ASM147165v2
Citrobacter_amalonaticus_Y19	N/A	0	Citrobacter amalonaticus Y19	Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	1261127			GCF_000981805.1	2627854164	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	5875351	5733	3122149	53	5511	96.13	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/805/GCF_000981805.1_ASM98180v1
Citrobacter_amalonaticus_YG6	N/A	0	Citrobacter amalonaticus YG6	Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	35703		GCF_001276105.1	GCF_001276105.1	2648501867	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4947518	4848	2640628	53	4680	96.53	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/276/105/GCF_001276105.1_ASM127610v1
Citrobacter_amalonaticus_YG8	N/A	0	Citrobacter amalonaticus YG8	Citrobacter amalonaticus	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	35703		GCF_001276125.1	GCF_001276125.1	2648501729	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4949960	4847	2641733	53	4678	96.51	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/276/125/GCF_001276125.1_ASM127612v1
Citrobacter_freundii_4_7_47CFAA	Citrobacter freundii 4_7_47CFAA (742730.3)	2	Citrobacter freundii 4_7_47CFAA	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	742730	742730.3		GCF_000238735.1		Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0							Gram-	Facultative anaerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/735/GCF_000238735.1_Citr_freu_4_7_47CFAA_V1
Citrobacter_freundii_ATCC_8090	Citrobacter freundii ATCC 8090 = MTCC 1658 (1006003.3)	1	Citrobacter freundii ATCC 8090 = MTCC 1658	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	1006003	1006003.3	GCF_000238735.1	GCF_000734905.1	2519899575	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Rod-shaped	Yes	Actinomycosis, Anaplasmosis	Environmental	Aquatic	Unclassified	Unclassified	Gram-	Facultative anaerobe	Food, Intestinal tract, Sewage plant, Soil	Agroclavine producer, Aminoacid degrading, Bacteriocins producer	Nonmotile	0	0	5001265	4849	2584894	52	4770	98.37	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/905/GCF_000734905.1_ASM73490v1
Citrobacter_freundii_ERR2221339	N/A	0	Citrobacter freundii ERR2221339	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	Forster	546					PMID:30718869	Forster et al. resource	0	0	0							Gram-	Facultative anaerobe	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/009/ERR2221339/ERR2221339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/009/ERR2221339/ERR2221339_2.fastq.gz
Citrobacter_freundii_FDAARGOS_61	N/A	0	Citrobacter freundii FDAARGOS_61	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	546		GCF_000783995.2	GCF_000783995.2		PMID:31275260	Literature research	0	0	0							Gram-	Facultative anaerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/995/GCF_000783995.2_ASM78399v2
Citrobacter_freundii_FDAARGOS_73	N/A	0	Citrobacter freundii FDAARGOS_73	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	546		GCF_000783755.2	GCF_000783755.2	2850992652	PMID:31275260	Literature research	0	0	0	Yes	0	Host-associated	Human	Unclassified	Respiratory system	Gram-	Facultative anaerobe	0	0	0	Lung	0	5451221	5483	2814730	52	5231	95.4	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/755/GCF_000783755.2_ASM78375v2
Citrobacter_freundii_GTC_09479	Citrobacter freundii GTC 09479 (1288347.3)	2	Citrobacter freundii GTC 09479	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1288347	1288347.3		GCF_000342325.1	2531839651	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Facultative anaerobe	0	0	0	0	0	4899578	4635	2529326	52	4555	98.27	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/342/325/GCF_000342325.1_Whole_genome_assembly
Citrobacter_freundii_GTC_09629	Citrobacter freundii GTC 09629 (1297584.3)	2	Citrobacter freundii GTC 09629	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1297584	1297584.3	GCF_000342325.1	GCF_000388155.1	2534682223	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	5053892	4890	2618175	52	4808	98.32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/155/GCF_000388155.1_Whole_genome_assembly
Citrobacter_freundii_str_ballerup_7851_39	Citrobacter freundii str. ballerup 7851/39 (670484.3)	2	Citrobacter freundii str. ballerup 7851/39	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	670484	670484.3	GCF_000388155.1	GCF_000208765.1	2547132213	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	Rod-shaped	Yes	Murine colonic hyperplasia	Host-associated	Human	Unclassified	Unclassified	Gram-	Facultative anaerobe	0	0	Motile	0	0	4904486	5042	2563085	52	4877	96.73	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/208/765/GCF_000208765.1_ASM20876v1
Citrobacter_freundii_UCI_31	N/A	0	Citrobacter freundii UCI 31	Citrobacter freundii	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	1400136		GCF_000208765.1	GCF_000521965.1	2571042150	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	5258293	5058	2720846	52	4954	97.94	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/965/GCF_000521965.1_Citr_freu_UCI_31_V2
Citrobacter_koseri_ATCC_BAA_895	Citrobacter koseri ATCC BAA-895 (290338.8)	2	Citrobacter koseri ATCC BAA-895	Citrobacter koseri	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	290338	290338.8		GCF_000018045.1	640753015	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0	Yes	Bacteremia, Brain abscesses, Meningoencephalitis, Neonatal meningitis	Host-associated	Human	Unclassified	Unclassified	Gram-	Facultative anaerobe	Food, Fresh water, Host, Intestinal tract, Soil	0	Motile	Gastrointestinal tract	Intestinal tract	4735357	5171	2548921	54	5031	97.29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/045/GCF_000018045.1_ASM1804v1
Citrobacter_koseri_FDAARGOS_164	N/A	0	Citrobacter koseri FDAARGOS_164	Citrobacter koseri	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	545		GCF_001471775.2	GCF_001471775.2	2663763285	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4984729	5107	2673742	54	4909	96.12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/471/775/GCF_001471775.2_ASM147177v2
Citrobacter_nov_ERR2221352	N/A	0	Citrobacter nov. ERR2221352	Citrobacter nov. ERR2221352	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	Forster	544					PMID:30718869	Forster et al. resource	0	0	0							Gram-	Facultative anaerobe	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/002/ERR2221352/ERR2221352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/002/ERR2221352/ERR2221352_2.fastq.gz
Citrobacter_portucalensis_P10159	N/A	0	Citrobacter portucalensis P10159	Citrobacter portucalensis	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1639133		GCF_001281005.1	GCF_001281005.1	2744054990	PMID:31275260	Literature research	0	0	0	Yes	0	Host-associated	Human	Urethra	Excretory system	Gram-	Facultative anaerobe	0	0	0	0	0	5080321	5042	2625301	52	4856	96.31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/005/GCF_001281005.1_ASM128100v1
Citrobacter_rodentium_ICC168	Citrobacter rodentium ICC168 (637910.3)	1	Citrobacter rodentium ICC168	Citrobacter rodentium	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	637910	637910.3		GCF_000027085.1	646311913	PMID:31275260	Literature research	0	0	Rod-shaped	Yes	Murine colonic hyperplasia	Engineered	Lab synthesis	Unclassified	Unclassified	Gram-	Facultative anaerobe	0	0	Motile	0	0	5444283	5078	2969878	55	4913	96.75	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/085/GCF_000027085.1_ASM2708v1
Citrobacter_sp_30_2	Citrobacter sp. 30_2 (469595.3)	2	Citrobacter sp. 30_2	Citrobacter sp. 30_2	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	469595	469595.3		GCF_000158355.2		PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0							Gram-	Facultative anaerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/355/GCF_000158355.2_Citrobacter_sp_30_2_V2
Citrobacter_sp_A1	Citrobacter sp. A1 (1173691.3)	1	Citrobacter sp. A1	Citrobacter sp. A1	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1173691	1173691.3		GCF_000277565.1	2519899624	PMID:31275260	Literature research	0	0	Coccus-shaped	Yes	0	Environmental	Aquatic	Pond	Freshwater	Gram-	Facultative anaerobe	Aquatic, Ponds	0	0	0	0	5090626	4904	2637676	52	4836	98.61	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/565/GCF_000277565.1_ASM27756v1
Citrobacter_sp_KTE151	Citrobacter sp. KTE151 (1169322.3)	1	Citrobacter sp. KTE151	Citrobacter sp. KTE151	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1169322	1169322.3	GCF_000398845.1	GCF_000398845.1	2563366847	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	5245392	5029	2738103	52	4937	98.17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/398/845/GCF_000398845.1_Esch_coli_KTE151_V1
Citrobacter_sp_KTE30	Citrobacter sp. KTE30 (1169319.3)	1	Citrobacter sp. KTE30	Citrobacter sp. KTE30	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1169319	1169319.3	GCF_000398825.1	GCF_000398825.1	2563366936	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4882483	4645	2532572	52	4546	97.87	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/398/825/GCF_000398825.1_Esch_coli_KTE30_V1
Citrobacter_sp_KTE32	Citrobacter sp. KTE32 (1169350.3)	1	Citrobacter sp. KTE32	Citrobacter sp. KTE32	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1169350	1169350.3	GCF_000398865.1	GCF_000398865.1	2563366938	PMID:31275260	Literature research	0	0	0	Yes	0	0	0	0	0	Gram-	Facultative anaerobe	0	0	0	0	0	4903481	4659	2558673	52	4574	98.18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/398/865/GCF_000398865.1_Esch_coli_KTE32_V1
Citrobacter_sp_L17	Citrobacter sp. L17 (1212820.3)	1	Citrobacter sp. L17	Citrobacter sp. L17	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1212820	1212820.3	GCF_000313895.1	GCF_000313895.1	2519899729	PMID:31275260	Literature research	0	0	0	Yes	0	Environmental	Aquatic	Pond	Freshwater	Gram-	Facultative anaerobe	0	0	0	0	0	5092668	4916	2638630	52	4841	98.47	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/895/GCF_000313895.1_L17dn
Citrobacter_youngae_ATCC_29220	Citrobacter youngae ATCC 29220 (500640.5)	2	Citrobacter youngae ATCC 29220	Citrobacter youngae	Citrobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	500640	500640.5		GCF_000155975.1	2562617093	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Rod-shaped	Yes	0	Host-associated	Human	Large intestine	Digestive system	Gram-	Facultative anaerobe	Feces, Gastrointestinal tract, Host, Human fecal, Human intestinal microflora	0	Motile	Gastrointestinal tract	0	5150259	5406	2713640	53	5278	97.63	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/975/GCF_000155975.1_ASM15597v1
Cloacibacillus_evryensis_DSM_19522	N/A	0	Cloacibacillus evryensis DSM 19522	Cloacibacillus evryensis	Cloacibacillus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	Human	AGORA1.03	866499			GCF_000585335.1	2510065052	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Rod-shaped	Yes	0	Engineered	Wastewater	Unclassified	Unclassified	Gram-	Obligate anaerobe	Sludge, Wastewater treatment plant	0	Nonmotile	0	0	3488464	3142	1951857	56	3072	97.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/335/GCF_000585335.1_ASM58533v1
Cloacibacterium_normanense_DSM_15886	N/A	0	Cloacibacterium normanense DSM 15886	Cloacibacterium normanense	Cloacibacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Mouse	AGORA2	237258			GCF_900104195.1	2634166320	Personal communication, Dr. Jan Krumsiek	Personal communication	0	0	0	Yes	0	Environmental	Aquatic	Unclassified	Unclassified	Gram-	Facultative	0	0	0	0	0	2736266	2608	904251	33	2524	96.78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/104/195/GCF_900104195.1_IMG-taxon_2634166320_annotated_assembly
Clostridiaceae_nov_ERR1022373	N/A	0	Clostridiaceae nov. ERR1022373	Clostridiaceae nov. ERR1022373	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022373/ERR1022373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/003/ERR1022373/ERR1022373_2.fastq.gz
Clostridiaceae_nov_ERR2221146	N/A	0	Clostridiaceae nov. ERR2221146	Clostridiaceae nov. ERR2221146	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221146/ERR2221146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221146/ERR2221146_2.fastq.gz
Clostridiaceae_nov_ERR2221328	N/A	0	Clostridiaceae nov. ERR2221328	Clostridiaceae nov. ERR2221328	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2221328/ERR2221328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/008/ERR2221328/ERR2221328_2.fastq.gz
Clostridiaceae_nov_ERR2221330	N/A	0	Clostridiaceae nov. ERR2221330	Clostridiaceae nov. ERR2221330	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/000/ERR2221330/ERR2221330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/000/ERR2221330/ERR2221330_2.fastq.gz
Clostridiaceae_nov_ERR2221331	N/A	0	Clostridiaceae nov. ERR2221331	Clostridiaceae nov. ERR2221331	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221331/ERR2221331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221331/ERR2221331_2.fastq.gz
Clostridiaceae_nov_ERR2221345	N/A	0	Clostridiaceae nov. ERR2221345	Clostridiaceae nov. ERR2221345	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2221345/ERR2221345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2221345/ERR2221345_2.fastq.gz
Clostridiaceae_nov_ERR2221361	N/A	0	Clostridiaceae nov. ERR2221361	Clostridiaceae nov. ERR2221361	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221361/ERR2221361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/001/ERR2221361/ERR2221361_2.fastq.gz
Clostridiaceae_nov_ERR2221383	N/A	0	Clostridiaceae nov. ERR2221383	Clostridiaceae nov. ERR2221383	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/003/ERR2221383/ERR2221383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/003/ERR2221383/ERR2221383_2.fastq.gz
Clostridiaceae_nov_ERR2230154	N/A	0	Clostridiaceae nov. ERR2230154	Clostridiaceae nov. ERR2230154	unclassified Clostridiaceae	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	31979					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2230154/ERR2230154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR223/004/ERR2230154/ERR2230154_2.fastq.gz
Clostridiales_incertae_sedis_nov_ERR1022334	N/A	0	Clostridiales incertae sedis nov. ERR1022334	Clostridiales_incertae_sedis nov. ERR1022334	unclassified Clostridiales incertae sedis	Clostridiales incertae sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	186802		GCF_000334515.1			PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1022334/ERR1022334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/004/ERR1022334/ERR1022334_2.fastq.gz
Clostridiales_incertae_sedis_nov_ERR1022419	N/A	0	Clostridiales incertae sedis nov. ERR1022419	Clostridiales_incertae_sedis nov. ERR1022419	unclassified Clostridiales incertae sedis	Clostridiales incertae sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	186802		GCF_000239975.1			PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022419/ERR1022419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/009/ERR1022419/ERR1022419_2.fastq.gz
Clostridiales_incertae_sedis_nov_ERR2221176	N/A	0	Clostridiales incertae sedis nov. ERR2221176	Clostridiales_incertae_sedis nov. ERR2221176	unclassified Clostridiales incertae sedis	Clostridiales incertae sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	186802					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221176/ERR2221176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221176/ERR2221176_2.fastq.gz
Clostridiales_incertae_sedis_nov_ERR2221277	N/A	0	Clostridiales incertae sedis nov. ERR2221277	Clostridiales_incertae_sedis nov. ERR2221277	unclassified Clostridiales incertae sedis	Clostridiales incertae sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	186802					PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221277/ERR2221277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221277/ERR2221277_2.fastq.gz
Clostridiales_incertae_sedis_nov_ERR2221283	N/A	0	Clostridiales incertae sedis nov. ERR2221283	Clostridiales_incertae_sedis nov. ERR2221283	unclassified Clostridiales incertae sedis	Clostridiales incertae sedis	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	Forster	186802		GCF_000328885.1			PMID:30718869	Forster et al. resource	0	0	0							Gram+	0	0	0	0	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/003/ERR2221283/ERR2221283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/003/ERR2221283/ERR2221283_2.fastq.gz
